partition_kind,q,depth,exponent,layer_dependent,cell_index,bits,x_lo,x_hi,x_mid,plog_mid,c_shared,c_free,displacement,shared_err,free_err,wall_excess,best_donor_index,best_donor_excess,value_add
geometric_x,3,6,1/2,True,56,"(1, 1, 1, 0, 0, 0)",1.8340080864093424,1.8539791250833855,1.843993605746364,0.8439936057463641,-0.101806640625,-0.10516166687011719,0.0033550262451171875,0.0042560484895358955,0.0009845086545154328,0.003271539835020463,28,4.652073026837136e-05,-0.0032250191047520915
geometric_x,3,6,1/2,True,57,"(1, 1, 1, 0, 0, 1)",1.8539791250833855,1.8741676341103,1.8640733795968427,0.8640733795968427,-0.10400390625,-0.10307598114013672,-0.0009279251098632812,0.0019818623111271,0.0010645436900520615,0.0009173186210750383,27,0.00015834429511697788,-0.0007589743259580604
geometric_x,3,6,1/2,True,58,"(1, 1, 1, 0, 1, 0)",1.8741676341103,1.8945759815869656,1.8843718078486327,0.8843718078486328,-0.1015625,-0.10083770751953125,-0.00072479248046875,0.0018663347793251004,0.0011459448637834088,0.0007203899155416916,26,0.0002947476557310282,-0.0004256422598106634
geometric_x,3,6,1/2,True,59,"(1, 1, 1, 0, 1, 1)",1.8945759815869656,1.9152065613971474,1.9048912714920565,0.9048912714920565,-0.10107421875,-0.09844589233398438,-0.002628326416015625,0.0038568207055771674,0.0012287928907945877,0.0026280278147825797,25,0.00045607924141869306,-0.0021719485733638867
geometric_x,3,6,1/2,True,60,"(1, 1, 1, 1, 0, 0)",1.9152065613971474,1.9360617934922943,1.9256341774447208,0.9256341774447209,-0.102783203125,-0.0959005355834961,-0.006882667541503906,0.008243914041791697,0.0013128651312770382,0.006931048910514659,24,0.0006458870212177345,-0.006285161889296924
geometric_x,3,6,1/2,True,61,"(1, 1, 1, 1, 0, 1)",1.9360617934922943,1.9571441241754002,1.9466029588338474,0.9466029588338474,-0.102783203125,-0.0931997299194336,-0.009583473205566406,0.011111653400507238,0.001398482653298855,0.009713170747208382,23,0.0008643697438271733,-0.008848801003381208
geometric_x,3,6,1/2,True,62,"(1, 1, 1, 1, 1, 0)",1.9571441241754002,1.978456026387951,1.9678000752816756,0.9678000752816757,-0.104736328125,-0.09034252166748047,-0.014393806457519531,0.016179316720472067,0.0014853072063489557,0.014694009514123111,22,0.0011153165269653276,-0.013578692987157784
geometric_x,3,6,1/2,True,63,"(1, 1, 1, 1, 1, 1)",1.978456026387951,2.0,1.9892280131939755,0.9892280131939755,-0.10693359375,-0.08732795715332031,-0.019605636596679688,0.021735968418280384,0.0015734225626415385,0.020162545855638845,21,0.0014002345280605577,-0.018762311327578288
uniform_x,3,6,1/2,False,0,"(0, 0, 0, 0, 0, 0)",1.0,1.015625,1.0078125,0.0078125,-0.047119140625,-0.0038270950317382812,-0.04329204559326172,0.034396063490018426,0.0027633102183522973,0.03163275327166613,1,0.005397949288588853,-0.026234803983077273
uniform_x,3,6,1/2,False,1,"(0, 0, 0, 0, 0, 1)",1.015625,1.03125,1.0234375,0.0234375,-0.058837890625,-0.011281967163085938,-0.04755592346191406,0.03771354848443066,0.002656041512703097,0.03505750697172756,2,0.005187242798706533,-0.02987026417302103
