source_run,partition_kind,alpha,q,depth,layer_dependent,cell_index,bits,x_lo,x_hi,plog_lo,plog_hi,x_mid,plog_mid,cell_worst_err,cell_log2_ratio,path_intercept,free_cell_intercept,worst_candidate_type,worst_candidate_x,worst_candidate_plog,n_candidates
partition_2026-03-18,uniform_x,1/2,3,4,True,8,"(1, 0, 0, 0)",1.5,1.5625,0.5,0.5625,1.53125,0.53125,0.02410078025290997,0.001998786339293378,-0.091796875,-0.11788749694824219,endpoint,1.5625,0.5625,2
partition_2026-03-18,uniform_x,1/2,3,4,True,9,"(1, 0, 0, 1)",1.5625,1.625,0.5625,0.625,1.59375,0.59375,0.024491875522524346,0.0003910952696143749,-0.091796875,-0.11873340606689453,D,1.60546875,0.60546875,3
partition_2026-03-18,uniform_x,1/2,3,4,True,10,"(1, 0, 1, 0)",1.625,1.6875,0.625,0.6875,1.65625,0.65625,0.024412127216229512,0.0013099437257851228,-0.091796875,-0.1176004409790039,endpoint,1.625,0.625,2
partition_2026-03-18,uniform_x,1/2,3,4,True,11,"(1, 0, 1, 1)",1.6875,1.75,0.6875,0.75,1.71875,0.71875,0.02310218349044439,0.002875878682652982,-0.091796875,-0.11487865447998047,endpoint,1.6875,0.6875,2
partition_2026-03-18,uniform_x,1/2,3,4,True,12,"(1, 1, 0, 0)",1.75,1.8125,0.75,0.8125,1.78125,0.78125,0.02435550316421186,0.004310231563645563,-0.08740234375,-0.1106405258178711,endpoint,1.75,0.75,2
partition_2026-03-18,uniform_x,1/2,3,4,True,13,"(1, 1, 0, 1)",1.8125,1.875,0.8125,0.875,1.84375,0.84375,0.015830285525612584,0.005878933049425147,-0.091796875,-0.10501670837402344,endpoint,1.8125,0.8125,2
partition_2026-03-18,uniform_x,1/2,3,4,True,14,"(1, 1, 1, 0)",1.875,1.9375,0.875,0.9375,1.90625,0.90625,0.015107204607866128,0.007711313520156782,-0.109375,-0.09812164306640625,endpoint,1.9375,0.9375,2
partition_2026-03-18,uniform_x,1/2,3,4,True,15,"(1, 1, 1, 1)",1.9375,2.0,0.9375,1.0,1.96875,0.96875,0.024266569033602244,0.009159364425736118,-0.109375,-0.0900564193725586,endpoint,2.0,1.0,2
partition_2026-03-18,geometric_x,1/2,3,4,True,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,0.0,0.04427378242741384,1.022136891213707,0.02213689121370692,0.021825825531831766,0.014946418270782118,-0.030029296875,-0.01044464111328125,endpoint,1.0,0.0,2
partition_2026-03-18,geometric_x,1/2,3,4,True,1,"(0, 0, 0, 1)",1.0442737824274138,1.0905077326652577,0.04427378242741384,0.09050773266525766,1.0673907575463357,0.06739075754633575,0.012314434708633769,0.013960217779352638,-0.037353515625,-0.030208587646484375,endpoint,1.0442737824274138,0.04427378242741384,2
partition_2026-03-18,geometric_x,1/2,3,4,True,2,"(0, 0, 1, 0)",1.0905077326652577,1.1387886347566916,0.09050773266525766,0.13878863475669165,1.1146481837109747,0.11464818371097465,0.009958069016787047,0.012912051518838712,-0.04345703125,-0.048061370849609375,endpoint,1.1387886347566916,0.13878863475669165,2
partition_2026-03-18,geometric_x,1/2,3,4,True,3,"(0, 0, 1, 1)",1.1387886347566916,1.189207115002721,0.13878863475669165,0.18920711500272105,1.1639978748797064,0.16399787487970635,0.021806127400834648,0.011848058384047599,-0.04345703125,-0.0639791488647461,endpoint,1.189207115002721,0.18920711500272105,2
partition_2026-03-18,geometric_x,1/2,3,4,True,4,"(0, 1, 0, 0)",1.189207115002721,1.241857812073484,0.18920711500272105,0.24185781207348406,1.2155324635381026,0.21553246353810257,0.010716370597329824,0.010234843521358752,-0.0849609375,-0.07793426513671875,endpoint,1.189207115002721,0.18920711500272105,2
partition_2026-03-18,geometric_x,1/2,3,4,True,5,"(0, 1, 0, 1)",1.241857812073484,1.2968395546510096,0.24185781207348406,0.29683955465100964,1.269348683362247,0.2693486833622469,0.008491165769514463,0.008972692845485535,-0.0849609375,-0.08989620208740234,endpoint,1.2968395546510096,0.29683955465100964,2
partition_2026-03-18,geometric_x,1/2,3,4,True,6,"(0, 1, 1, 0)",1.2968395546510096,1.3542555469368927,0.29683955465100964,0.3542555469368927,1.3255475507939511,0.3255475507939512,0.021768038472403994,0.007705133821503902,-0.078125,-0.09983348846435547,endpoint,1.3542555469368927,0.3542555469368927,2
partition_2026-03-18,geometric_x,1/2,3,4,True,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,0.3542555469368927,0.41421356237309503,1.384234554654994,0.3842345546549939,0.021838262465232617,0.0061392148465392845,-0.08544921875,-0.10770988464355469,endpoint,1.4142135623730951,0.41421356237309503,2
partition_2026-03-18,geometric_x,1/2,3,4,True,8,"(1, 0, 0, 0)",1.4142135623730951,1.4768261459394993,0.41421356237309503,0.4768261459394993,1.4455198541562972,0.4455198541562972,0.019017036529819047,0.0044168836672278805,-0.093994140625,-0.11349010467529297,endpoint,1.4768261459394993,0.4768261459394993,2
partition_2026-03-18,geometric_x,1/2,3,4,True,9,"(1, 0, 0, 1)",1.4768261459394993,1.5422108254079407,0.4768261459394993,0.5422108254079409,1.50951848567372,0.50951848567372,0.021702788954689276,0.0026857524248702293,-0.093994140625,-0.11713123321533203,endpoint,1.5422108254079407,0.5422108254079409,2
partition_2026-03-18,geometric_x,1/2,3,4,True,10,"(1, 0, 1, 0)",1.5422108254079407,1.6104903319492543,0.5422108254079409,0.6104903319492543,1.5763505786785976,0.5763505786785975,0.016359259707689422,0.0007013947366355665,-0.100830078125,-0.1186532974243164,D,1.5994466145833333,0.5994466145833334,3
partition_2026-03-18,geometric_x,1/2,3,4,True,11,"(1, 0, 1, 1)",1.6104903319492543,1.681792830507429,0.6104903319492543,0.6817928305074291,1.6461415812283418,0.6461415812283416,0.016333525908310286,0.0013850498800862033,-0.100830078125,-0.11782264709472656,endpoint,1.6104903319492543,0.6104903319492543,2
partition_2026-03-18,geometric_x,1/2,3,4,True,12,"(1, 1, 0, 0)",1.681792830507429,1.7562521603732995,0.6817928305074291,0.7562521603732995,1.7190224954403643,0.7190224954403643,0.02171356501325751,0.003471551072424697,-0.093505859375,-0.114776611328125,endpoint,1.681792830507429,0.6817928305074291,2
