case_id,kind,scramble_mode,depth,n_cells,corr_inf,corr_l2,nrmse_inf,nrmse_l2,residual_norm_inf,residual_norm_2,rho_peak,mean_width_eps,worst_abs,time
minimax_chord_x,minimax_chord_x,,7,128,0.829748031050023,0.8441135483748257,0.538405228620117,0.5361644500058361,0.05250263214111328,0.2725731074543587,-0.1290253318184392,0.007859433777255117,0.0009495617195225958,0.961601972579956
minimax_chord_x,minimax_chord_x,,8,256,0.829276492158612,0.8441058419166018,0.5377000660452788,0.5361765825194769,0.0529022216796875,0.38654832580905174,-0.12902853697561045,0.003929706385441991,0.00047912642070491174,1.880098819732666
half_geometric_x,half_geometric_x,,5,32,0.8762303740164092,0.875810398125524,0.4545507991974125,0.48265530820163055,0.05489063262939453,0.15310108324078908,0.13071260906670026,0.03147664014449977,0.004482485907782611,0.24069976806640625
half_geometric_x,half_geometric_x,,6,64,0.8762316042264181,0.8758550921559384,0.44941564430017716,0.4825741990041658,0.05670309066772461,0.21985369178125724,0.12802141747274065,0.015738701299068843,0.0022633530590907853,0.4843559265136719
half_geometric_x,half_geometric_x,,7,128,0.8761876650394445,0.8758663264421702,0.44666347516974114,0.48255380861070607,0.05760478973388672,0.31336883474064553,0.1279569354141993,0.007869398328139671,0.0011372140459344352,0.880403995513916
half_geometric_x,half_geometric_x,,8,256,0.8761599066785796,0.8758694433462271,0.44523937336067415,0.48254815118531963,0.058054447174072266,0.4449368817363253,0.12794082939188312,0.003934705124685099,0.0005700680002472609,1.7205431461334229
eps_density_x,eps_density_x,,5,32,0.8157013811452457,0.8361428120416936,0.47226318468785655,0.5485118028547871,0.04695272445678711,0.13669776012982324,-0.7542863988788331,0.02618626499720166,0.015168958797831977,0.2236630916595459
eps_density_x,eps_density_x,,6,64,0.8062686313504782,0.832561653045045,0.4580619851647463,0.5539323910721433,0.05003213882446289,0.2028492036247418,-0.6850595195361546,0.013042025400103595,0.010947230959656072,0.4168248176574707
eps_density_x,eps_density_x,,7,128,0.8002012953188739,0.8306898158343345,0.4481945787844042,0.5567355115933591,0.05224943161010742,0.2983886200003738,-0.6277396172456617,0.006511258511600745,0.007850375072667351,0.7997550964355469
eps_density_x,eps_density_x,,8,256,0.7964227389155093,0.8298443047233556,0.44131133600262457,0.5579950088649638,0.05383872985839844,0.43488243850374164,-0.5811224043238913,0.003253804313487717,0.005605182530470966,1.5977590084075928
midpoint_dense_x,midpoint_dense_x,,5,32,0.8832803165409556,0.8808974957860186,0.4456767664656483,0.4733070905003649,0.05693769454956055,0.16564146482701117,0.4708214551869834,0.03329522349267794,0.004904819097853452,0.21071410179138184
midpoint_dense_x,midpoint_dense_x,,6,64,0.8839760097428413,0.8813949552803015,0.4427343938465172,0.47238007240614505,0.05800819396972656,0.236407795418721,0.4637225241588106,0.01666178318727506,0.0024759531658913314,0.38121891021728516
midpoint_dense_x,midpoint_dense_x,,7,128,0.8841566509690765,0.8815211821167449,0.4420487082800424,0.47214447521865177,0.058333396911621094,0.3350217027507489,0.4622247161925189,0.00833266991849017,0.0012414848908531353,0.7592101097106934
midpoint_dense_x,midpoint_dense_x,,8,256,0.8841996153749103,0.8815533124961021,0.44192999729589216,0.472084481027655,0.05843830108642578,0.47395609583025705,0.4617984254205209,0.004166557470500703,0.0006213310089636728,1.5452768802642822
scramble_x__peak_swap,scramble_x,peak_swap,5,32,0.8500316094163295,0.8551648600663749,0.46508657660261704,0.5183561151444607,0.05253458023071289,0.15349669130092952,-0.9933931315932493,0.02894086317657399,0.00674715383319946,0.1793200969696045
scramble_x__peak_swap,scramble_x,peak_swap,6,64,0.8487013899718069,0.8550878990868823,0.45667337084119664,0.5184830612808701,0.054931640625,0.2233844938760395,-0.9896892676364092,0.014474077958661026,0.003476089637491254,0.3680460453033447
scramble_x__peak_swap,scramble_x,peak_swap,7,128,0.8486129294710296,0.8553305990185621,0.4509527305408592,0.5180825864498319,0.056243896484375,0.32161712327782277,-0.9916475534615968,0.007234902915187615,0.0017738872730804767,0.7482600212097168
scramble_x__peak_swap,scramble_x,peak_swap,8,256,0.8482032601529743,0.8552605062552903,0.44873829409544014,0.5181982887273404,0.056884765625,0.45841608055836974,-0.9906993523050979,0.003617832236091038,0.0008938987280341371,1.4618079662322998
scramble_x__peak_avoid,scramble_x,peak_avoid,5,32,0.8860282082810937,0.8837546763102854,0.44583972900022373,0.4679505017624224,0.05582571029663086,0.15576056898862478,0.9909367072283709,0.03430496148941153,0.00417972380042253,0.19266819953918457
scramble_x__peak_avoid,scramble_x,peak_avoid,6,64,0.8871659495334335,0.8840752033510922,0.439963412588618,0.4673446638400036,0.05750894546508789,0.22353759957920138,0.9929690276986554,0.017152965946583047,0.002110049600400954,0.3650391101837158
scramble_x__peak_avoid,scramble_x,peak_avoid,7,128,0.8874326638611393,0.8840374593249817,0.4376823755891652,0.46741605718057294,0.058309078216552734,0.31784931110109377,0.9920542012795311,0.008577628026829685,0.0010542948202304503,0.736947774887085
scramble_x__peak_avoid,scramble_x,peak_avoid,8,256,0.8877257876301127,0.8840900033091323,0.436077362703725,0.46731666570844416,0.058718204498291016,0.45119432764485945,0.9925280652147238,0.004288685889602639,0.0005284274673162948,1.4554219245910645
