source_run,partition_kind,exponent,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,worst_cell_x_mid,worst_cell_plog_mid,n_cells,n_params,param_to_cell_ratio,gap_over_free,gap_over_opt,time
wall_surface_2026-03-18,harmonic_x,1/2,1,4,False,0.04801885319811061,0.036814085942925706,0.007685177394208464,0.011204767255184905,0.02912890854871724,8,"(1, 0, 0, 0)",1.3333333333333333,1.391304347826087,1.36231884057971,0.44606439489946814,16,3,0.1875,3.790271460834298,0.7912435635065586,7.14948582649231
wall_surface_2026-03-18,mirror_harmonic_x,1/2,1,4,False,0.04801885319811061,0.041080793032408074,0.018302927470747927,0.006938060165702538,0.022777865561660147,15,"(1, 1, 1, 1)",1.967741935483871,2.0,1.98387096774194,0.9883181949523647,16,3,0.1875,1.2444930243024865,0.5544650889210196,7.33556604385376
wall_surface_2026-03-18,uniform_x,1/2,1,4,True,0.04801885319811061,0.03268363912847789,0.010422740025294662,0.015335214069632723,0.022260899103183227,7,"(0, 1, 1, 1)",1.4375,1.5,1.46875000000000,0.5545888516776374,16,9,0.5625,2.1358010512743157,0.681102218014238,7.21849513053894
wall_surface_2026-03-18,geometric_x,1/2,1,4,True,0.04801885319811061,0.03035818276048388,0.007553957776491171,0.01766067043762673,0.02280422498399271,15,"(1, 1, 1, 1)",1.9152065613971474,2.0,1.95760328069857,0.9690884243086474,16,9,0.5625,3.0188446452483775,0.7511722675863235,7.420185089111328
wall_surface_2026-03-18,harmonic_x,1/2,1,4,True,0.04801885319811061,0.026302633694648112,0.007685177394208464,0.0217162195034625,0.01861745630043965,0,"(0, 0, 0, 0)",1.0,1.032258064516129,1.01612903225806,0.023083613113041242,16,9,0.5625,2.4225148419436264,0.7078171911061442,7.278430938720703
wall_surface_2026-03-18,mirror_harmonic_x,1/2,1,4,True,0.04801885319811061,0.03620078606822961,0.018302927470747927,0.011818067129881003,0.01789785859748168,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,1.05882352941176,0.08246216019197297,16,9,0.5625,0.9778686292718127,0.4944052475476252,7.32774019241333
wall_surface_2026-03-18,uniform_x,1/2,1,5,False,0.04801885319811061,0.04199111634305641,0.005419629112361607,0.0060277368550542,0.0365714872306948,0,"(0, 0, 0, 0, 0)",1.0,1.03125,1.01562500000000,0.02236781302845451,32,3,0.09375,6.747968628937923,0.870933912114061,15.107240200042725
wall_surface_2026-03-18,geometric_x,1/2,1,5,False,0.04801885319811061,0.04126605285706291,0.003842389163193495,0.0067528003410477,0.037423663693869416,0,"(0, 0, 0, 0, 0)",1.0,1.0218971486541166,1.01094857432706,0.015709611038839808,32,3,0.09375,9.739685936123601,0.9068874075138047,15.137890815734863
wall_surface_2026-03-18,harmonic_x,1/2,1,5,False,0.04801885319811061,0.03945303926878258,0.004239617174228956,0.00856581392932803,0.03521342209455362,1,"(0, 0, 0, 0, 1)",1.0158730158730158,1.032258064516129,1.02406554019457,0.03430805077529531,32,3,0.09375,8.305802304180391,0.8925401628669055,15.213405847549438
wall_surface_2026-03-18,mirror_harmonic_x,1/2,1,5,False,0.04801885319811061,0.04235378478158993,0.010130868899735112,0.005665068416520681,0.032222915881854816,0,"(0, 0, 0, 0, 0)",1.0,1.0606060606060606,1.03030303030303,0.04306872189188593,32,3,0.09375,3.1806665549385733,0.7608036931769381,15.672950744628906
wall_surface_2026-03-18,uniform_x,1/2,1,5,True,0.04801885319811061,0.03247276504480362,0.005419629112361607,0.015546088153306992,0.02705313593244201,15,"(0, 1, 1, 1, 1)",1.46875,1.5,1.48437500000000,0.5698556083309478,32,11,0.34375,4.9916950720366895,0.8331023211332946,15.152101993560791
wall_surface_2026-03-18,geometric_x,1/2,1,5,True,0.04801885319811061,0.029849564725641077,0.003842389163193495,0.018169288472469534,0.026007175562447582,31,"(1, 1, 1, 1, 1)",1.9571441241754002,2.0,1.97857206208770,0.9844596110388398,32,11,0.34375,6.768490763916386,0.8712748678746112,14.890143871307373
wall_surface_2026-03-18,harmonic_x,1/2,1,5,True,0.04801885319811061,0.025807802933905742,0.004239617174228956,0.02221105026420487,0.021568185759676787,24,"(1, 1, 0, 0, 0)",1.6,1.641025641025641,1.62051282051282,0.6964504344274922,32,11,0.34375,5.08729559139955,0.8357234366254774,14.85111403465271
wall_surface_2026-03-18,mirror_harmonic_x,1/2,1,5,True,0.04801885319811061,0.03586962132550633,0.010130868899735112,0.012149231872604284,0.025738752425771214,7,"(0, 0, 1, 1, 1)",1.358974358974359,1.4,1.37948717948718,0.4641320488070134,32,11,0.34375,2.5406263451345414,0.7175640967101258,15.108761072158813
wall_surface_2026-03-18,uniform_x,1/2,1,6,False,0.04801885319811061,0.04436983165121844,0.0027633102183522973,0.0036490215468921727,0.04160652143286614,32,"(1, 0, 0, 0, 0, 0)",1.5,1.515625,1.50781250000000,0.5924570372680804,64,3,0.046875,15.056768203779601,0.9377209668029828,30.60099220275879
wall_surface_2026-03-18,geometric_x,1/2,1,6,False,0.04801885319811061,0.04230006320868979,0.0019372364815933578,0.005718789989420825,0.04036282672709643,40,"(1, 0, 1, 0, 0, 0)",1.5422108254079407,1.559004400237837,1.55060761282289,0.6328336530698511,64,3,0.046875,20.83526049122222,0.9542025156786199,30.371654987335205
wall_surface_2026-03-18,harmonic_x,1/2,1,6,False,0.04801885319811061,0.04371240411416954,0.002225137210319355,0.004306449083941073,0.041487266903850184,48,"(1, 1, 0, 0, 0, 0)",1.6,1.620253164556962,1.61012658227848,0.6871741122198902,64,3,0.046875,18.644812873313043,0.9490959773224171,30.557361841201782
wall_surface_2026-03-18,mirror_harmonic_x,1/2,1,6,False,0.04801885319811061,0.043623842750329864,0.005339397922687269,0.004395010447780748,0.038284444827642594,0,"(0, 0, 0, 0, 0, 0)",1.0,1.0307692307692307,1.01538461538462,0.02202630632999885,64,3,0.046875,7.170180118056156,0.8776036775749909,30.64219331741333
wall_surface_2026-03-18,uniform_x,1/2,1,6,True,0.04801885319811061,0.03235473310620089,0.0027633102183522973,0.01566412009190972,0.029591422887848596,34,"(1, 0, 0, 0, 1, 0)",1.53125,1.546875,1.53906250000000,0.6220518194563762,64,13,0.203125,10.708686520724164,0.9145933236635879,29.34972882270813
wall_surface_2026-03-18,geometric_x,1/2,1,6,True,0.04801885319811061,0.02958521459456766,0.0019372364815933578,0.01843363860354295,0.027647978112974304,34,"(1, 0, 0, 0, 1, 0)",1.4451808069770467,1.460917794180647,1.45304930057885,0.5390836530698512,64,13,0.203125,14.271865296607524,0.9345201139102413,29.53819990158081
wall_surface_2026-03-18,harmonic_x,1/2,1,6,True,0.04801885319811061,0.026040634305238963,0.002225137210319355,0.02197821889287165,0.02381549709491961,63,"(1, 1, 1, 1, 1, 1)",1.9692307692307693,2.0,1.98461538461538,0.9888594423947996,64,13,0.203125,10.7029341761363,0.9145513437100996,29.334033012390137
wall_surface_2026-03-18,mirror_harmonic_x,1/2,1,6,True,0.04801885319811061,0.03570952614923379,0.005339397922687269,0.012309327048876821,0.03037012822654652,63,"(1, 1, 1, 1, 1, 1)",1.9921259842519685,2.0,1.99606299212598,0.9971572502311746,64,13,0.203125,5.687931236123627,0.8504769315511672,30.011991024017334
