kind,depth,cell_index,half,m_mid,width_x,width_log,c_star,g,eps_mid,eps_prime_mid,eps_pp_mid,mean_cell_eps,cell_moment1,cell_moment2,eps_a,eps_b,contains_mstar,dist_to_mstar
midpoint_dense_x,8,212,R,0.8541094658024067,0.004338719860075946,0.002340057003081264,-0.10414600372314453,-0.0017986297607421875,0.03661695675232801,-0.22189327680035043,-0.4196660108538451,0.0366166275856480,-3.47745387462626e-7,5.73842733080678e-8,0.0370973348649893,0.0361346036386562,0,0.41141442491344327
midpoint_dense_x,8,213,R,0.8584479699602128,0.004338288455536521,0.002334362056777173,-0.10369205474853516,-0.0013446807861328125,0.03565032839220161,-0.22370974909787233,-0.41770889659006544,0.0356500008256277,-3.50522404656106e-7,5.58582916875658e-8,0.0361346036386562,0.0351640877460716,0,0.4157529290712494
midpoint_dense_x,8,214,R,0.8627856723740039,0.004337116372045813,0.0023282970207725295,-0.10323238372802734,-0.000885009765625,0.03467601844289936,-0.22551742678461828,-0.4157657988792409,0.0346756925763103,-3.53163884836313e-7,5.43023315407865e-8,0.0351640877460716,0.0341859939396107,0,0.42009063148504056
midpoint_dense_x,8,215,R,0.8671217897265524,0.004335118333051113,0.002321819767944766,-0.1027669906616211,-0.00041961669921875,0.03369424587392822,-0.22731604931874738,-0.41383693068807004,0.0336939218179613,-3.55652648224599e-7,5.27162590822972e-8,0.0341859939396107,0.0332005534716115,0,0.424426748837589
midpoint_dense_x,8,216,R,0.8714554488360324,0.004332199885908716,0.002314883757012831,-0.102294921875,5.245208740234375e-05,0.03270525555554038,-0.2291053245289596,-0.41192253652124333,0.0327049334326327,-3.57969640921090e-7,5.11000434265193e-8,0.0332005534716115,0.0322080249021797,0,0.42876040794706904
midpoint_dense_x,8,217,R,0.875785676956188,0.004328256354402926,0.0023074375329626973,-0.10181903839111328,0.0005283355712890625,0.03170932122962278,-0.2308849253876354,-0.4100228955049904,0.0317090011759159,-3.60093743616557e-7,4.94537757122292e-8,0.0322080249021797,0.0312086972337431,0,0.43309063606722464
midpoint_dense_x,8,218,R,0.8801113909677465,0.004323171668713988,0.0022994241694012096,-0.10133647918701172,0.001010894775390625,0.030706748826699215,-0.2326544864204202,-0.40813832481734247,0.0307064309920260,-3.62001564486037e-7,4.77776909727983e-8,0.0312086972337431,0.0302028934111245,0,0.4374163500787831
midpoint_dense_x,8,219,R,0.884431385331959,0.004316817059710543,0.002290780646662549,-0.10084915161132812,0.0014982223510742188,0.029697880169926916,-0.23441359971043985,-0.4062691835047607,0.0296975647202091,-3.63667216383390e-7,4.60721930717057e-8,0.0302028934111245,0.0291909742301183,0,0.4417363444429956
midpoint_dense_x,8,220,R,0.888744318663663,0.004309049603697934,0.002281437159149635,-0.1003570556640625,0.0019903182983398438,0.028683097111306344,-0.23616181045102558,-0.40441587672883655,0.0286827842296763,-3.65062079069324e-7,4.43378830369558e-8,0.0291909742301183,0.0281733427020254,0,0.4460492777746996
midpoint_dense_x,8,221,R,0.8930486987671482,0.004299710603272278,0.002271316345187402,-0.09986114501953125,0.0024862289428710938,0.027662826149887798,-0.23789861199634132,-0.40257886049100516,0.0276625160380091,-3.66154548071322e-7,4.25755911329957e-8,0.0281733427020254,0.0271504489262451,0,0.4503536578781848
midpoint_dense_x,8,222,R,0.897342865963711,0.004288623789853396,0.0022603324326376795,-0.09935951232910156,0.0029878616333007812,0.026637543586427892,-0.23962344035474037,-0.4007586468874955,0.0266372364666898,-3.66909772961269e-7,4.07864129995337e-8,0.0271504489262451,0.0261227955277186,0,0.45464782507474766
midpoint_dense_x,8,223,R,0.9016249745256393,0.004275593334002847,0.0022483902938092992,-0.09885406494140625,0.0034933090209960938,0.025607781273576324,-0.24133566806523243,-0.3989558099509166,0.0256074773905491,-3.67289389448144e-7,3.89717501565389e-8,0.0261227955277186,0.0250909437205772,0,0.4589299336366759
midpoint_dense_x,8,224,R,0.9058929720181776,0.004260401651074108,0.002235384403902141,-0.09834480285644531,0.004002571105957031,0.024574133025036415,-0.24303459739332955,-0.3971709921387184,0.0245738326474756,-3.67251251833433e-7,3.71333551148186e-8,0.0250909437205772,0.0240555200634932,0,0.46319793112921426
midpoint_dense_x,8,225,R,0.9101445763399489,0.004242806992468706,0.0022211976985531123,-0.09783267974853516,0.0045146942138671875,0.023537261750875005,-0.2447194527791562,-0.395404911531904,0.0235369651738157,-3.66749175220322e-7,3.52733812303085e-8,0.0240555200634932,0.0230172239755611,0,0.46744953545098555
midpoint_dense_x,8,226,R,0.914377250244824,0.0042225408172813506,0.0022057003282240917,-0.09731674194335938,0.005030632019042969,0.022497907388819516,-0.24638937246853432,-0.3936583698093407,0.0224976149357847,-3.65732700574258e-7,3.33944372819838e-8,0.0230172239755611,0.0219768360834958,0,0.4716822093558606
midpoint_dense_x,8,227,R,0.9185881731265142,0.004199304946099103,0.0021887483105323957,-0.09679889678955078,0.0055484771728515625,0.02145689570226783,-0.24804339925750685,-0.39193226106315004,0.0214566077272376,-3.64146900516234e-7,3.14996465195352e-8,0.0219768360834958,0.0209352274707559,0,0.4758931322375508
midpoint_dense_x,8,228,R,0.9227742098540785,0.004172768509029368,0.0021701820865643873,-0.09627819061279297,0.006069183349609375,0.020415148013983808,-0.24968047028337714,-0.3902275815180429,0.0204148649039393,-3.61932249827638e-7,2.95927095934432e-8,0.0209352274707559,0.0198933698958390,0,0.48007916896511516
midpoint_dense_x,8,229,R,0.926931876465972,0.004142564714757713,0.002149824994252425,-0.09575653076171875,0.006590843200683594,0.019373691938819104,-0.25129940580209176,-0.3885454402109112,0.0193734141150045,-3.59024592308660e-7,2.76779703181476e-8,0.0198933698958390,0.0188523470390684,0,0.4842368355770086
midpoint_dense_x,8,230,R,0.9310573025673441,0.004108287487986306,0.00212748168171617,-0.09523296356201172,0.007114410400390625,0.018333673167692854,-0.2528988969043551,-0.3868870706748954,0.0183334010888355,-3.55355245118384e-7,2.57604825956231e-8,0.0188523470390684,0.0178133668228762,0,0.4883622616783807
midpoint_dense_x,8,231,R,0.9351461903366514,0.004069488050628456,0.0021029364968249142,-0.0947103500366211,0.00763702392578125,0.017296368336394585,-0.25447749214338045,-0.38525384365246496,0.0172961024994174,-3.50851293245960e-7,2.38460760048425e-8,0.0178133668228762,0.0167777748275214,0,0.492451149447688
midpoint_dense_x,8,232,R,0.9391937701417981,0.004025671559664712,0.002075951907124396,-0.09418773651123047,0.008159637451171875,0.01626319898386397,-0.25603358307846125,-0.3836472808321461,0.0162629399254965,-3.45436140429071e-7,2.19414165057671e-8,0.0167777748275214,0.0157470687893890,0,0.49649872925283467
midpoint_dense_x,8,233,R,0.9431947529035305,0.00397629396380017,0.0020462670276990558,-0.09366607666015625,0.008681297302246094,0.015235746562117347,-0.2575653887839694,-0.3820690695601568,0.0152354948594268,-3.39030398545409e-7,2.00540573824335e-8,0.0157470687893890,0.0147229141187850,0,0.5004997120145671
midpoint_dense_x,8,234,R,0.94714327953767,0.0039207593044789935,0.002013596364700776,-0.09314727783203125,0.009200096130371094,0.014215768399836515,-0.2590709394372266,-0.3805210784173519,0.0142155246704380,-3.31553214807081e-7,1.81924739429050e-8,0.0147229141187850,0.0137071603040116,0,0.5044482386487066
midpoint_dense_x,8,235,R,0.9510328680731965,0.0038584177665736963,0.001977628920168728,-0.09263229370117188,0.009715080261230469,0.013205214438982815,-0.260548059185829,-0.37900537346889485,0.0132049793388292,-3.22924153924692e-7,1.63660736175693e-8,0.0137071603040116,0.0127018579732842,0,0.5083378271842331
midpoint_dense_x,8,236,R,0.9548563593974366,0.0037885648819067086,0.0019380278502304504,-0.09212112426757812,0.010226249694824219,0.012206244453197068,-0.2619943486110362,-0.3775242348836546,0.0122060186744892,-3.13065768860868e-7,1.45851710204243e-8,0.0127018579732842,0.0117092762600095,0,0.5121613185084732
midpoint_dense_x,8,237,R,0.9586058630408201,0.0037104424048599594,0.0018944309238358992,-0.09161663055419922,0.010730743408203125,0.011221245312398098,-0.2634071672546118,-0.3760801734769629,0.0112210295774211,-3.01907005633744e-7,1.28609154138566e-8,0.0117092762600095,0.0107319199542742,0,0.5159108221518567
midpoint_dense_x,8,238,R,0.9622727049989261,0.003623241511352404,0.0018464520917713667,-0.09111881256103516,0.011228561401367188,0.010252847674442567,-0.26478361686748686,-0.37467594654888475,0.0102526427284615,-2.89387589926875e-7,1.12051561273563e-8,0.0107319199542742,0.00977254571895958,0,0.5195776641099628
midpoint_dense_x,8,239,R,0.9658473803114533,0.0035261091137019918,0.001793684542552687,-0.09063053131103516,0.011716842651367188,0.009303941257869486,-0.26612052627381777,-0.37331457216679365,0.00930374785828521,-2.75463528896752e-7,9.63023028000188e-9,0.00977254571895958,0.00883417639971751,0,0.52315233942249
midpoint_dense_x,8,240,R,0.9693195139788189,0.0034181582210290884,0.0017357056866169618,-0.09015274047851562,0.012194633483886719,0.008377687578668858,-0.2674144390240982,-0.37199934077522234,0.00837750647996391,-2.60113820974640e-7,8.14865732026825e-9,0.00883417639971751,0.00792011216521360,0,0.5266244730898555
midpoint_dense_x,8,241,R,0.9726778347819927,0.0032984833853184625,0.0016720845622484326,-0.08968734741210938,0.012660026550292969,0.0074775287233398435,-0.2686616053308062,-0.3707338227126258,0.00747736065758782,-2.43348387764837e-7,6.77272734303504e-9,0.00792011216521360,0.00703393688579779,0,0.5299827938930293
midpoint_dense_x,8,242,R,0.9759101676358128,0.0031661823223219088,0.0016023921793891782,-0.08923625946044922,0.013111114501953125,0.006607190393888573,-0.26985798012510054,-0.36952186988769753,0.00660703604581643,-2.25217112155623e-7,5.51397600440113e-9,0.00703393688579779,0.00617951781423998,0,0.5332151267468495
midpoint_dense_x,8,243,R,0.97900345116479,0.0030203847356322644,0.0015262152878736668,-0.08880233764648438,0.013545036315917969,0.005770677124620094,-0.2709992294152743,-0.368367609543912,0.00577053710310585,-2.05819673428443e-7,4.38254934795203e-9,0.00617951781423998,0.00536099630575193,0,0.5363084102758267
midpoint_dense_x,8,244,R,0.9819437881023467,0.0028602891394815533,0.0014431739452406278,-0.08838653564453125,0.013960838317871094,0.004972257279771908,-0.2720807474210447,-0.3672754277637292,0.00497213208099572,-1.85315606983458e-7,3.38647799791564e-9,0.00536099630575193,0.00458276706020921,0,0.5392487472133833
midpoint_dense_x,8,245,R,0.9847165366726554,0.002685208001135475,0.0013529430329799474,-0.08799362182617188,0.014353752136230469,0.00421643526027593,-0.27309768713490046,-0.3662499401973742,0.00421632522731205,-1.63933689315289e-7,2.53090228865770e-9,0.00458276706020921,0.00384944326335923,0,0.542021495783692
